kommunenummer;gaardsnummer;bruksnummer;festenummer;bruksnavn;gjeldende_jordbruksareal;gjeldende_produktiv_skog;gjeldende_annet_areal;gjeldende_fulldyrket;gjeldende_overflatedyrket;gjeldende_innmarksbeite;lbe_id
4228;25;2;0;LINDELAND;26.sep;68.4;2494.0;19.sep;0.0;7.0;30693
4225;258;1;0;STAKKELAND;21.apr;715.0;224.0;14.0;0.0;07.apr;79282
4225;176;1;0;HAUKELIEN;31.9;84.8;50.0;25.0;0.0;06.sep;30217
4228;24;8;0;GRØNDOKKEN;24.aug;208.0;1526.0;24.aug;0.0;0.0;139096
4227;164;19;0;JERDAL;0.0;0.0;0.0;0.0;0.0;0.0;30597
3407;87;2;0;STOKKE ØVRE NORDRE MED HEMET;58.0;229.3;13.aug;58.0;0.0;0.0;170945
4227;110;5;0;AASE LILLE;01.mai;108.0;101.0;0.0;0.0;01.mai;94221
4227;113;6;0;ØIE YTRE;0.0;5.0;0.0;0.0;0.0;0.0;30494
4228;22;21;0;ØVREGÅRD;33.0;476.0;1429.0;23.0;0.0;10.0;139088
4206;134;1;0;HØILAND;10.jun;176.0;80.0;10.jun;0.0;0.0;126485
4226;99;4;0;HADDELAND;34.9;402.0;429.1;24.jul;0.0;10.feb;193598
3431;59;1;0;BJØRKE;96.0;138.5;78.2;87.0;0.0;9.0;170334
4228;24;17;0;NYVOLD;53.0;71.0;604.0;53.0;0.0;0.0;139098
3431;51;11;0;KROGSTAD;0.0;0.0;1.0;0.0;0.0;0.0;170388
4227;202;74;0;;0.0;0.0;1.0;0.0;0.0;0.0;30548
4228;25;3;0;LINDELAND;84.7;296.0;3209.0;45.0;0.0;39.7;207121
4225;164;12;0;SOLBAKK;0.0;22.0;7.0;0.0;0.0;0.0;30210
4226;25;37;0;STEDJAN;0.0;0.0;0.0;0.0;0.0;0.0;193749
5032;121;1;0;KRAAKSTAD;157.6;1488.0;4387.7;152.4;0.0;05.feb;146752
4226;25;42;0;FAGERHEIM;0.0;0.0;0.0;0.0;0.0;0.0;193749
3431;3;1;0;MIDTSKOUG;100.0;207.2;34.1;77.0;03.mar;19.jul;170499
4220;4;2;0;HEGLAND ØVRE;31.2;396.9;128.0;21.jul;0.0;09.mai;150581
5032;121;4;0;KRÅKSTAD;86.3;1687.0;2350.9;86.3;0.0;0.0;146486
3431;4;1;0;HINDBRAKKEN;127.0;127.8;18.sep;127.0;0.0;0.0;170500
1122;78;3;0;DIRDAL;151.5;174.0;437.0;90.6;01.apr;59.5;185754
4220;4;1;0;HEGLAND ØVRE;25.0;438.9;284.0;20.feb;0.0;04.aug;27156
5032;121;5;0;KROKSTAD;64.8;732.0;3779.8;64.8;0.0;0.0;51602
1122;78;5;0;DIRDAL;67.6;120.0;276.0;53.0;02.jun;12.0;31639
1122;78;4;0;DIRDAL;32.0;98.0;239.0;25.jul;06.mar;0.0;72872
4220;4;3;0;HEGLAND ØVRE;42.1;551.2;3630.0;41.0;0.0;01.jan;27188
4226;27;7;0;ROS-EIKELAND;47.0;67.6;259.6;33.0;0.0;14.0;193765
3407;173;1;0;GULLOR NEDRE;36.1;36.0;6.0;32.4;0.0;03.jul;82993
1122;78;2;0;DIRDAL;356.1;273.0;836.0;157.7;32.4;166.0;156038
5032;15;1;0;BELLET;155.3;610.0;184.0;152.7;0.0;02.jun;131552
1122;78;9;0;SAMSLÅTTEN;20.0;60.9;162.0;20.0;0.0;0.0;103897
1122;9;1;0;LIMA YTRE;311.3;78.6;730.0;125.6;0.0;185.7;118162
1120;17;17;0;HEIMDAL;0.0;0.0;4.0;0.0;0.0;0.0;133313
1122;78;11;0;DIRDAL;79.7;79.0;362.0;48.3;9.0;22.apr;185755
1124;29;8;0;HOLENE;61.0;0.0;34.0;61.0;0.0;0.0;94933
1122;9;3;0;LIMA YTRE;359.4;78.8;395.0;111.0;0.0;248.4;185850
3407;173;8;0;LAAVERINGEN;0.0;0.0;121.0;0.0;0.0;0.0;82993
3407;176;9;0;STENBERGSTYKKET;0.0;1.0;0.0;0.0;0.0;0.0;170739
5032;17;1;0;ENGAN;186.7;441.0;195.0;186.7;0.0;0.0;50325
3407;173;3;0;GULLOR ØSTRE;12.feb;63.0;14.jan;12.feb;0.0;0.0;170747
3407;248;3;0;RØNNINGEN;23.0;90.0;1.0;23.0;0.0;0.0;241716
3407;248;9;0;NYLAND;0.0;90.0;2.0;0.0;0.0;0.0;11818
4205;83;2;0;SVINSTAD;31.9;662.7;72.9;12.0;0.0;19.sep;28066
3407;143;1;0;BJØRGE;176.2;441.0;23.sep;114.2;0.0;62.0;170830
5032;18;1;0;MEAN;78.7;286.0;95.0;54.5;0.0;24.feb;144481
4221;68;18;0;RYSSTAD;01.jun;495.7;4695.0;01.jun;0.0;0.0;27575
5032;17;2;0;ENGAN;201.4;583.0;195.0;189.2;3.0;09.feb;50326
5032;19;1;0;BALSTAD;164.0;1129.0;1295.0;146.0;4.0;14.0;51475
4220;6;8;0;GAMLESTOG;1.0;0.0;13.0;1.0;0.0;0.0;243989
3407;245;3;0;TOMTER SØNDRE;97.5;367.0;50.0;78.6;0.0;18.sep;170564
4220;6;9;0;ARNEBERGSTUN;1.0;0.0;9.0;1.0;0.0;0.0;243988
5032;140;1;0;AUNET NEDRE;47.1;495.0;269.0;46.6;0.0;0.5;51632
5032;139;1;0;ØVRE AUNET;57.2;803.0;232.0;52.7;01.mar;03.feb;91378
4222;6;4;0;VATNEDALEN M/LØYNING;71.6;306.1;0.0;64.5;07.jan;0.0;27467
4222;6;5;0;ØRNEFJELLET;111.0;785.0;11807.0;106.0;0.0;5.0;117833
4221;68;86;0;TJØNNEHEI;0.0;0.0;3041.0;0.0;0.0;0.0;88867
5032;140;2;0;AUNET NEDRE;66.6;625.0;138.0;66.6;0.0;0.0;101253
4222;10;2;0;NESLAND;0.0;0.0;4633.0;0.0;0.0;0.0;231386
3431;52;4;0;BJØRKE;0.0;0.0;0.0;0.0;0.0;0.0;170390
5032;48;5;0;BROBAK;41.8;3.0;3.0;36.3;0.0;05.mai;140822
1840;28;6;0;FURUMO;28.apr;265.0;43.0;28.0;0.0;0.4;57895
1840;28;9;0;SKOGAN;29.jun;220.0;24.0;28.0;0.0;01.jun;57897
4219;1;43;0;FLATELAND;9.0;0.0;0.0;9.0;0.0;0.0;26905
1840;28;7;0;BAKKEJORD;15.mar;265.0;26.0;15.0;0.0;0.3;57896
1840;28;5;0;SMEDIEVOLDEN;29.jan;502.0;42.0;26.0;0.0;03.jan;57894
