soeknads_aar,statsforvalter,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade
2024,Nordland,1833,999660347,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,619,9285,Opprettholde kulturlandskapet
2024,Nordland,1833,999660347,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,34,850,Opprettholde kulturlandskapet
2024,Rogaland,1108,999659748,,,,,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,1580,39500,Opprettholde kulturlandskapet
2024,Vestfold og Telemark,4010,999659209,4010,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,95,DEKAR,5,475,Avrenning
2024,Vestfold og Telemark,4010,999659209,4010,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,130,DEKAR,11,1430,Avrenning
2024,Vestfold og Telemark,4010,999659209,4010,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,220,DEKAR,8,1760,Avrenning
2024,Vestfold og Telemark,4010,999659209,4010,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,220,DEKAR,3,660,Avrenning
2024,Møre og Romsdal,1539,999654797,,,,,Kulturlandskap,Drift av beitelag,Småfe,20,ANTALL_DYR,661,13220,Opprettholde kulturlandskapet
2024,Møre og Romsdal,1539,999654797,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,432,10800,Opprettholde kulturlandskapet
2024,Møre og Romsdal,1520,999654339,1520,162,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,400,DEKAR,42,16800,Regionalt prioriterte kulturlandskap
2024,Møre og Romsdal,1520,999654339,1520,162,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,500,DEKAR,8,4000,Regionalt prioriterte kulturlandskap
2024,Innlandet,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Småfe,32,ANTALL_DYR,521,16672,Opprettholde kulturlandskapet
2024,Innlandet,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,70,ANTALL_DYR,40,2800,Opprettholde kulturlandskapet
2024,Rogaland,1121,999646123,,,,,Biologisk mangfold,Skjøtsel av biologisk verdifulle arealer,Beiting,300,DEKAR,11,3300,Prioriterte naturverdier
2024,Rogaland,1121,999646123,,,,,Avrenning til vann,Kantsone i eng,Prioriterte områder,25,METER,222,5550,Avrenning
2024,Innlandet,3439,999645755,3439,49,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,125,DEKAR,1,125,Regionalt prioriterte kulturlandskap
2024,Innlandet,3439,999645755,3439,49,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,150,DEKAR,40,6000,Nyere tids kulturminner
2024,Vestland,4643,999642071,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,762,22860,Opprettholde kulturlandskapet
2024,Trøndelag,5037,999641717,5037,348,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,180,DEKAR,56,10080,Regionalt prioriterte kulturlandskap
2024,Trøndelag,5037,999641717,5037,348,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,232,DEKAR,3,696,Regionalt prioriterte kulturlandskap
2024,Trøndelag,5037,999641717,5037,348,1,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,21,DEKAR,489,10269,Miljøvennlig spredning av husdyrgjødsel
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,455,ANTALL,5,2275,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Jord og jordhelse,Fangvekster sådd etter høsting,Hovedvekst korn/oljevekster/belgvekster/fÃ´rmais,185,DEKAR,229,42365,Jordhelse og karbonlagring
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,120,DEKAR,367,44040,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,120,DEKAR,147,17640,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,210,DEKAR,76,15960,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, med dråg, prioriterte områder,120,DEKAR,53,6360,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,210,DEKAR,40,8400,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Grasdekt kantsone i åker, korn m.m.,Prioriterte områder,21,METER,3721,78141,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3118,999640001,3118,225,2,0,Avrenning til vann,Fangdam,Prioriterte områder,755,DEKAR,1,755,Avrenning
2024,Vestland,4644,999639569,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,2391,71730,Opprettholde kulturlandskapet
2024,Vestland,4644,999639569,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,36,1260,Opprettholde kulturlandskapet
2024,Innlandet,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,125,DEKAR,50,6250,Regionalt prioriterte kulturlandskap
2024,Innlandet,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,125,DEKAR,35,4375,Regionalt prioriterte kulturlandskap
2024,Innlandet,3453,999638198,3453,14,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Beiting,150,DEKAR,20,3000,Nyere tids kulturminner
2024,Østfold Buskerud Oslo og Akershus,3305,999626998,,,,,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,1361,34025,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3305,999626998,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,30,ANTALL_DYR,1107,33210,Opprettholde kulturlandskapet
2024,Innlandet,3438,999620264,3438,117,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,125,DEKAR,87,10875,Regionalt prioriterte kulturlandskap
2024,Innlandet,3438,999620264,3438,117,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,125,DEKAR,41,5125,Regionalt prioriterte kulturlandskap
2024,Innlandet,3438,999620264,3438,117,1,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,150,DEKAR,20,3000,Nyere tids kulturminner
2024,Innlandet,3438,999620264,3438,117,1,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,75,DEKAR,184,13800,Miljøvennlig spredning av husdyrgjødsel
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,455,ANTALL,1,455,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Biologisk mangfold,Soner for pollinerende insekter,Egen stripe - regional frøblanding,20,METER,4386,87720,Prioriterte naturverdier
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Biologisk mangfold,Soner for pollinerende insekter,Tilgrensende kantsone,10,METER,200,2000,Prioriterte naturverdier
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Jord og jordhelse,Fangvekster sådd etter høsting,Hovedvekst korn/oljevekster/belgvekster/fÃ´rmais,185,DEKAR,325,60125,Jordhelse og karbonlagring
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Jord og jordhelse,Fangvekster med høy diversitet,Fangvekster med høy diversitet,55,DEKAR,325,17875,Jordhelse og karbonlagring
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,120,DEKAR,90,10800,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,120,DEKAR,99,11880,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, med dråg, prioriterte områder,120,DEKAR,27,3240,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,210,DEKAR,105,22050,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Avrenning til vann,Grasdekt kantsone i åker, korn m.m.,Prioriterte områder,21,METER,593,12453,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3216,999615996,3216,114,2,0,Avrenning til vann,Fangdam,Prioriterte områder,755,DEKAR,1,755,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3312,999615104,3312,62,1,0,Biologisk mangfold,Soner for pollinerende insekter,Egen stripe - generell frøblanding,10,METER,514,5140,Prioriterte naturverdier
2024,Østfold Buskerud Oslo og Akershus,3312,999615104,3312,62,1,0,Biologisk mangfold,Soner for pollinerende insekter,Tilgrensende kantsone,10,METER,186,1860,Prioriterte naturverdier
2024,Østfold Buskerud Oslo og Akershus,3312,999615104,3312,62,1,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,240,DEKAR,9,2160,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3312,999615104,3312,62,1,0,Avrenning til vann,Grasdekt kantsone i åker, korn m.m.,Prioriterte områder,21,METER,86,1806,Avrenning
2024,Møre og Romsdal,1525,999614558,,,,,Kulturlandskap,Drift av beitelag,Småfe,20,ANTALL_DYR,2568,51360,Opprettholde kulturlandskapet
2024,Møre og Romsdal,1525,999614558,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,241,6025,Opprettholde kulturlandskapet
2024,Rogaland,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,181,DEKAR,3,543,Regionalt prioriterte kulturlandskap
2024,Rogaland,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,181,DEKAR,4,724,Regionalt prioriterte kulturlandskap
2024,Rogaland,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:5,161,DEKAR,54,8694,Regionalt prioriterte kulturlandskap
2024,Rogaland,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:3,161,DEKAR,95,15295,Regionalt prioriterte kulturlandskap
2024,Rogaland,1133,999608620,1133,108,2,0,Klimarådgivning,Klimarådgivning,Grupperådgiving,2000,ANTALL,1,2000,Klimarådgivning
2024,Rogaland,1133,999608620,1133,108,2,0,Kulturminner og kulturmiljøer,Skjøtsel av automatisk fredete kulturminner,Beiting,100,DEKAR,4,400,Automatisk fredede kulturminner
2024,Rogaland,1133,999608620,1133,108,2,0,Kulturminner og kulturmiljøer,Skjøtsel av enkeltstående automatisk fredete kulturminner,Beiting,500,ANTALL,3,1500,Automatisk fredede kulturminner
2024,Rogaland,1133,999608620,1133,108,2,0,Utslipp til luft,Nedfelling av husdyrgjødsel,Voksende kultur,81,DEKAR,105,8505,Miljøvennlig spredning av husdyrgjødsel
2024,Østfold Buskerud Oslo og Akershus,3205,999608353,3205,298,2,0,Jord og jordhelse,Bruk av egenprodusert kompost,Bruk av egenprodusert kompost,350,DEKAR,425,148750,Jordhelse og karbonlagring
2024,Østfold Buskerud Oslo og Akershus,3205,999608353,3205,298,2,0,Avrenning til vann,Kantsone i eng,Prioriterte områder,21,METER,1011,21231,Avrenning
2024,Innlandet,3432,999608000,,,,,Kulturlandskap,Drift av beitelag,Småfe,32,ANTALL_DYR,3407,109024,Opprettholde kulturlandskapet
2024,Innlandet,3432,999608000,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,70,ANTALL_DYR,496,34720,Opprettholde kulturlandskapet
2024,Vestland,4650,999607896,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,604,18120,Opprettholde kulturlandskapet
2024,Vestland,4650,999607896,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,153,5355,Opprettholde kulturlandskapet
2024,Møre og Romsdal,1547,999605397,1579,87,46,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,70,DEKAR,637,44590,Miljøvennlig spredning av husdyrgjødsel
2024,Vestland,4646,999601987,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1596,47880,Opprettholde kulturlandskapet
2024,Vestland,4646,999601987,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,48,1680,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3240,999601928,,,,,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,2884,72100,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3240,999601928,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,30,ANTALL_DYR,12,360,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3338,999600506,,,,,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,1911,47775,Opprettholde kulturlandskapet
2024,Trøndelag,5029,999600441,,,,,Kulturlandskap,Drift av beitelag,Småfe,42,ANTALL_DYR,241,10122,Opprettholde kulturlandskapet
2024,Trøndelag,5029,999600441,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,85,ANTALL_DYR,63,5355,Opprettholde kulturlandskapet
2024,Rogaland,1134,999600425,1134,99999,3044,0,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,677,16925,Opprettholde kulturlandskapet
2024,Rogaland,1134,999600425,1134,99999,3044,0,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,27,675,Opprettholde kulturlandskapet
2024,Vestland,4647,999599710,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,7693,230790,Opprettholde kulturlandskapet
2024,Vestland,4647,999599710,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,918,32130,Opprettholde kulturlandskapet
2024,Trøndelag,5060,999595723,5060,124,12,0,Klimarådgivning,Klimarådgivning,To-til-en rådgiving,8448,ANTALL,1,8448,Klimarådgivning
2024,Trøndelag,5060,999595723,5060,124,12,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,21,DEKAR,310,6510,Miljøvennlig spredning av husdyrgjødsel
2024,Innlandet,3432,999592880,,,,,Kulturlandskap,Drift av beitelag,Småfe,32,ANTALL_DYR,1705,54560,Opprettholde kulturlandskapet
2024,Innlandet,3432,999592880,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,70,ANTALL_DYR,236,16520,Opprettholde kulturlandskapet
2024,Vestland,4647,999592120,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1536,46080,Opprettholde kulturlandskapet
2024,Vestland,4647,999592120,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,130,4550,Opprettholde kulturlandskapet
2024,Møre og Romsdal,1517,999589545,1517,45,1,0,Kulturminner og kulturmiljøer,Skjøtsel av enkeltstående automatisk fredete kulturminner,Beiting,1000,ANTALL,2,2000,Automatisk fredede kulturminner
2024,Møre og Romsdal,1566,999588484,1566,13,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,400,DEKAR,24,9600,Avrenning
2024,Møre og Romsdal,1566,999588484,1566,13,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,400,DEKAR,29,11600,Avrenning
2024,Møre og Romsdal,1566,999588484,1566,13,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,400,DEKAR,5,2000,Avrenning
2024,Møre og Romsdal,1566,999588484,1566,13,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, med dråg, prioriterte områder,400,DEKAR,5,2000,Avrenning
2024,Møre og Romsdal,1566,999588484,1566,13,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,400,DEKAR,13,5200,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,85,DEKAR,57,4845,Regionalt prioriterte kulturlandskap
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,680,ANTALL,1,680,Opprettholde kulturlandskapet
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Biologisk mangfold,Soner for pollinerende insekter,Egen stripe - generell frøblanding,9,METER,1558,14022,Prioriterte naturverdier
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Jord og jordhelse,Fangvekster som underkultur,Hovedvekst korn/oljevekster/belgvekster/fÃ´rmais,200,DEKAR,155,31000,Jordhelse og karbonlagring
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Jord og jordhelse,Fangvekster sådd etter høsting,Hovedvekst korn/oljevekster/belgvekster/fÃ´rmais,300,DEKAR,58,17400,Jordhelse og karbonlagring
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,95,DEKAR,7,665,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,130,DEKAR,141,18330,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,220,DEKAR,105,23100,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 4, prioriterte områder,275,DEKAR,30,8250,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,220,DEKAR,39,8580,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Grasdekte vannveier i åker, korn m.m.,Prioriterte områder,36,METER,801,28836,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Grasdekt kantsone i åker, korn m.m.,Prioriterte områder,18,METER,636,11448,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Direktesådd høstkorn og høstoljevekster, lett harving,Prioriterte områder,160,DEKAR,30,4800,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Avrenning til vann,Direktesådd høstkorn og høstoljevekster, direktesådd,Prioriterte områder,215,DEKAR,5,1075,Avrenning
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Utslipp til luft,Nedfelling av husdyrgjødsel,Voksende kultur,50,DEKAR,185,9250,Miljøvennlig spredning av husdyrgjødsel
2024,Vestfold og Telemark,3907,999585159,3907,500,1,0,Utslipp til luft,Spredning av husdyrgjødsel med tilførselsslange,Bruk av tilførselsslange,45,DEKAR,185,8325,Miljøvennlig spredning av husdyrgjødsel
2024,Innlandet,3436,999584578,3436,212,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,125,DEKAR,103,12875,Regionalt prioriterte kulturlandskap
2024,Innlandet,3436,999584578,3436,212,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,125,DEKAR,74,9250,Regionalt prioriterte kulturlandskap
2024,Innlandet,3436,999584578,3436,212,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Beiting,150,DEKAR,32,4800,Nyere tids kulturminner
2024,Møre og Romsdal,1547,999578845,1554,20,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,400,DEKAR,104,41600,Regionalt prioriterte kulturlandskap
2024,Møre og Romsdal,1547,999578845,1554,20,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,500,DEKAR,1,500,Regionalt prioriterte kulturlandskap
2024,Møre og Romsdal,1547,999578845,1554,20,1,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,70,DEKAR,341,23870,Miljøvennlig spredning av husdyrgjødsel
2024,Vestland,4651,999577059,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1033,30990,Opprettholde kulturlandskapet
2024,Vestland,4651,999577059,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,129,4515,Opprettholde kulturlandskapet
2024,Trøndelag,5021,999576273,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,85,ANTALL_DYR,161,13685,Opprettholde kulturlandskapet
2024,Vestfold og Telemark,3905,999575110,3905,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,95,DEKAR,1,95,Avrenning
2024,Vestfold og Telemark,3905,999575110,3905,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,130,DEKAR,110,14300,Avrenning
2024,Vestfold og Telemark,3905,999575110,3905,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,220,DEKAR,110,24200,Avrenning
2024,Vestfold og Telemark,3905,999575110,3905,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 4, prioriterte områder,275,DEKAR,26,7150,Avrenning
2024,Vestfold og Telemark,3905,999575110,3905,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,220,DEKAR,49,10780,Avrenning
2024,Vestfold og Telemark,3905,999575110,3905,361,3,0,Avrenning til vann,Grasdekte vannveier i åker, korn m.m.,Prioriterte områder,36,METER,360,12960,Avrenning
2024,Innlandet,3427,999571204,3427,114,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,125,DEKAR,88,11000,Regionalt prioriterte kulturlandskap
2024,Innlandet,3427,999571204,3427,114,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,125,DEKAR,14,1750,Regionalt prioriterte kulturlandskap
2024,Innlandet,3427,999571204,3427,114,1,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Beiting,150,DEKAR,40,4160,Nyere tids kulturminner
2024,Innlandet,3427,999571204,3427,114,1,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,150,DEKAR,60,6240,Nyere tids kulturminner
2024,Innlandet,3430,999562914,3430,131,17,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark, dekar,Beiting av verdifulle jordbrukslandskap i innmark, dekar,125,DEKAR,22,2750,Regionalt prioriterte kulturlandskap
2024,Innlandet,3430,999562914,3430,131,17,0,Biologisk mangfold,Skjøtsel av trua naturtyper,Beiting,200,DEKAR,13,2600,Prioriterte naturverdier
2024,Innlandet,3430,999562914,3430,131,17,0,Kulturminner og kulturmiljøer,Drift av seter,Levering til meieri, 6 uker eller mer,138000,ANDEL,1,138000,Setring
2024,Innlandet,3430,999562914,3430,131,17,0,Utslipp til luft,Spredning av all husdyrgjødsel om våren/i vekstsesongen,Voksende kultur,75,DEKAR,67,5025,Miljøvennlig spredning av husdyrgjødsel
